Cohort,Syndrome,Correlation,P-Value,Feature
Internalizing,cbcl_scr_syn_internal_t,-0.0770224857581441,0.04743014907818471,Cortical Thickness
Internalizing,cbcl_scr_syn_external_t,-0.019357672717647788,0.6188064367805604,Cortical Thickness
Internalizing,cbcl_scr_syn_totprob_t,-0.02202948420182022,0.5712368765246174,Cortical Thickness
Externalizing,cbcl_scr_syn_internal_t,-0.061312884091517986,0.361046459859796,Cortical Thickness
Externalizing,cbcl_scr_syn_external_t,0.09344971540501565,0.16336160113409426,Cortical Thickness
Externalizing,cbcl_scr_syn_totprob_t,0.0471474371509149,0.48262870144173886,Cortical Thickness
High Symptom,cbcl_scr_syn_internal_t,-0.04972050448941728,0.499182329654995,Cortical Thickness
High Symptom,cbcl_scr_syn_external_t,-0.008725281325039707,0.90565671975141,Cortical Thickness
High Symptom,cbcl_scr_syn_totprob_t,0.041181048057228505,0.5757496560154856,Cortical Thickness
Internalizing,cbcl_scr_syn_internal_t,0.025567064475290432,0.5110612905347973,Cortical Volume
Internalizing,cbcl_scr_syn_external_t,-0.05835793178082805,0.1333323122108819,Cortical Volume
Internalizing,cbcl_scr_syn_totprob_t,-0.029175578601786,0.453268068497544,Cortical Volume
Externalizing,cbcl_scr_syn_internal_t,-0.016942583756314435,0.8009075009310622,Cortical Volume
Externalizing,cbcl_scr_syn_external_t,-0.03741605555075545,0.5774903002305332,Cortical Volume
Externalizing,cbcl_scr_syn_totprob_t,0.010136776588027733,0.8800794817061,Cortical Volume
High Symptom,cbcl_scr_syn_internal_t,-0.07657044179414488,0.2975998563892569,Cortical Volume
High Symptom,cbcl_scr_syn_external_t,-0.11637109564960511,0.11272250558043645,Cortical Volume
High Symptom,cbcl_scr_syn_totprob_t,-0.08382233821221233,0.25404644018257366,Cortical Volume
Internalizing,cbcl_scr_syn_internal_t,0.0006653600785878216,0.9863569284151326,Cortical Surface Area
Internalizing,cbcl_scr_syn_external_t,-0.04872091079596204,0.2102489540380727,Cortical Surface Area
Internalizing,cbcl_scr_syn_totprob_t,-0.035917704562817905,0.3558039546617999,Cortical Surface Area
Externalizing,cbcl_scr_syn_internal_t,-0.017370548361317482,0.7959874354513283,Cortical Surface Area
Externalizing,cbcl_scr_syn_external_t,-0.09204413871501373,0.16981477980816706,Cortical Surface Area
Externalizing,cbcl_scr_syn_totprob_t,-0.03012454555532934,0.6538340531770461,Cortical Surface Area
High Symptom,cbcl_scr_syn_internal_t,-0.06370856551483615,0.3863583453376571,Cortical Surface Area
High Symptom,cbcl_scr_syn_external_t,-0.07898254817650513,0.2825952240541841,Cortical Surface Area
High Symptom,cbcl_scr_syn_totprob_t,-0.06830749726736729,0.35293403399218126,Cortical Surface Area
