Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_surface_area,reconstruction_deviation_0,0.0036734063898749805,0.11844420435252354,0.06431980243864795,exter_test,mrisdp_303,L G_and_S_frontomargin,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_surface_area,reconstruction_deviation_0,0.01347488770926909,0.10612866104903672,0.05428055978321393,high_test,mrisdp_303,L G_and_S_frontomargin,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_surface_area,reconstruction_deviation_1,0.00805523590333717,0.14131927688481383,0.07652377593823081,high_test,mrisdp_304,L G_and_S_occipital_inf,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_surface_area,reconstruction_deviation_3,0.032465678768847483,0.14021747592972258,0.08571847507331379,inter_test,mrisdp_306,L G_and_S_subcentral,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_surface_area,reconstruction_deviation_3,0.006644641597683656,0.16589331452540926,0.0905506514718438,high_test,mrisdp_306,L G_and_S_subcentral,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_surface_area,reconstruction_deviation_5,0.008859391881463188,0.1325821886093533,0.08215249266862171,exter_test,mrisdp_308,L G_and_S_cingul-Ant,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_surface_area,reconstruction_deviation_6,0.012872356845192159,0.13745948448834697,0.08596264855687606,exter_test,mrisdp_309,L G_and_S_cingul-Mid-Ant,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus
cortical_surface_area,reconstruction_deviation_14,0.06195478674041353,0.24006087828055978,0.1546849548981031,high_test,mrisdp_317,L G_front_middle,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_surface_area,reconstruction_deviation_20,0.0015125791017132273,0.1018984411174564,0.062495014662756594,exter_test,mrisdp_323,L G_oc-temp_lat-fusifor,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_surface_area,reconstruction_deviation_20,0.035450462155239615,0.16455696202531644,0.10258747540740192,high_test,mrisdp_323,L G_oc-temp_lat-fusifor,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
