Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_thickness,reconstruction_deviation_2,0.04211974152025537,0.18516596164326682,0.11590423792593361,inter_test,mrisdp_3,L G_and_S_paracentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI paracentral lobule and sulcus
cortical_thickness,reconstruction_deviation_2,0.04606704035042132,0.22862764022421025,0.13080173725825012,high_test,mrisdp_3,L G_and_S_paracentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI paracentral lobule and sulcus
cortical_thickness,reconstruction_deviation_3,0.04997684827905541,0.17684827905540978,0.12131359777743478,exter_test,mrisdp_4,L G_and_S_subcentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_thickness,reconstruction_deviation_4,0.10808917032154257,0.23644668206472375,0.17359094801858146,inter_test,mrisdp_5,L G_and_S_transv_frontopol,Cortical thickness in mm for left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_4,0.06715171312966331,0.23189427966888154,0.1416915995397008,high_test,mrisdp_5,L G_and_S_transv_frontopol,Cortical thickness in mm for left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_5,0.04584040747028863,0.16388331532643927,0.09970532489581725,exter_test,mrisdp_6,L G_and_S_cingul-Ant,Cortical thickness in mm for left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_7,0.007758268681094325,0.16062214633059876,0.08949493299677048,high_test,mrisdp_8,L G_and_S_cingul-Mid-Post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_13,0.00793332304367958,0.16943972835314092,0.08896570458404075,exter_test,mrisdp_14,L G_front_inf-Triangul,Cortical thickness in mm for left hemisphere cortical Destrieux ROI triangular part of the inferior frontal gyrus
cortical_thickness,reconstruction_deviation_15,0.09448989041518753,0.2824201265627412,0.18112461799660443,exter_test,mrisdp_16,L G_front_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior frontal gyrus
cortical_thickness,reconstruction_deviation_15,0.053936671739856716,0.23657151341920635,0.13093715431159286,high_test,mrisdp_16,L G_front_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior frontal gyrus
cortical_thickness,reconstruction_deviation_16,0.01406882215375478,0.2143732135565537,0.1115387356620513,high_test,mrisdp_17,L G_Ins_lg_and_S_cent_ins,Cortical thickness in mm for left hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula
cortical_thickness,reconstruction_deviation_18,0.032465678768847483,0.16507928269275685,0.10110907533802195,inter_test,mrisdp_19,L G_occipital_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital gyrus
cortical_thickness,reconstruction_deviation_18,0.010155888254360241,0.22339867263466584,0.13344868035190616,exter_test,mrisdp_19,L G_occipital_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital gyrus
cortical_thickness,reconstruction_deviation_19,0.08994394743680166,0.2480789932811166,0.16846364007572665,high_test,mrisdp_20,L G_occipital_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_thickness,reconstruction_deviation_20,0.043556104337089056,0.17567525852755056,0.12237826825127333,exter_test,mrisdp_21,L G_oc-temp_lat-fusifor,Cortical thickness in mm for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_thickness,reconstruction_deviation_24,0.022903597015479418,0.21392776272318942,0.12450818515906306,high_test,mrisdp_25,L G_pariet_inf-Angular,Cortical thickness in mm for left hemisphere cortical Destrieux ROI angular gyrus
cortical_thickness,reconstruction_deviation_27,0.010458567980691875,0.21573716035605844,0.10953655308436924,inter_test,mrisdp_28,L G_postcentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI postcentral gyrus
cortical_thickness,reconstruction_deviation_34,0.13238003788960112,0.25331534009809775,0.19640391352866376,inter_test,mrisdp_35,L G_temp_sup-Plan_polar,Cortical thickness in mm for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_thickness,reconstruction_deviation_37,0.042132224655703626,0.20435056980585767,0.11832874271502283,high_test,mrisdp_38,L G_temporal_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle temporal gyrus
cortical_thickness,reconstruction_deviation_39,0.09189689766939342,0.22611514122549775,0.16720851983330762,exter_test,mrisdp_40,L Lat_Fis-ant-Vertical,Cortical thickness in mm for left hemisphere cortical Destrieux ROI vertical ramus of the anterior segment of the lateral sulcus
cortical_thickness,reconstruction_deviation_40,0.012327096255157917,0.16751875016219864,0.08922466457322295,inter_test,mrisdp_41,L Lat_Fis-post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI posterior ramus of the lateral sulcus
cortical_thickness,reconstruction_deviation_40,0.009614313820112104,0.15921155202494525,0.08738408998106834,high_test,mrisdp_41,L Lat_Fis-post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI posterior ramus of the lateral sulcus
cortical_thickness,reconstruction_deviation_45,0.008574928542262147,0.14777831396859573,0.08725550317383718,high_test,mrisdp_46,L S_cingul-Marginalis,Cortical thickness in mm for left hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus
cortical_thickness,reconstruction_deviation_48,0.022133045223028246,0.15703040592684056,0.09642914029942892,exter_test,mrisdp_49,L S_circular_insula_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula
cortical_thickness,reconstruction_deviation_50,0.03312239543139373,0.1691927766630653,0.09597734218243556,exter_test,mrisdp_51,L S_collat_transv_post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI posterior transverse collateral sulcus
cortical_thickness,reconstruction_deviation_51,0.003451586951444217,0.14390262891547503,0.06940726130848883,inter_test,mrisdp_52,L S_front_inf,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior frontal sulcus
cortical_thickness,reconstruction_deviation_51,0.006204661213150177,0.17419354838709677,0.08880463034418892,exter_test,mrisdp_52,L S_front_inf,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior frontal sulcus
cortical_thickness,reconstruction_deviation_52,0.025096465503935794,0.18308380922981943,0.11419972217934866,exter_test,mrisdp_53,L S_front_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle frontal sulcus
cortical_thickness,reconstruction_deviation_53,0.11597468745176724,0.26630652878530636,0.1870121932396975,exter_test,mrisdp_54,L S_front_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior frontal sulcus
cortical_thickness,reconstruction_deviation_56,0.024057301533750294,0.14935250304933434,0.08669171878649469,inter_test,mrisdp_57,L S_oc_middle_and_Lunatus,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_thickness,reconstruction_deviation_56,0.09380452132595865,0.2685697316158729,0.19437699988863727,high_test,mrisdp_57,L S_oc_middle_and_Lunatus,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_thickness,reconstruction_deviation_57,0.021700879765395895,0.17678654113289088,0.10086278746720173,exter_test,mrisdp_58,L S_oc_sup_and_transversal,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior occipital sulcus and transverse occipital sulcus
cortical_thickness,reconstruction_deviation_58,0.016329680506250964,0.16468590831918506,0.09744454391109739,exter_test,mrisdp_59,L S_occipital_ant,Cortical thickness in mm for left hemisphere cortical Destrieux ROI anterior occipital sulcus and preoccipital notch
cortical_thickness,reconstruction_deviation_59,0.055458957257415724,0.17592712739729582,0.1124098824384294,inter_test,mrisdp_60,L S_oc-temp_lat,Cortical thickness in mm for left hemisphere cortical Destrieux ROI lateral occipito-temporal sulcus
cortical_thickness,reconstruction_deviation_59,0.00503164068529094,0.172711838246643,0.09664688995215312,exter_test,mrisdp_60,L S_oc-temp_lat,Cortical thickness in mm for left hemisphere cortical Destrieux ROI lateral occipito-temporal sulcus
cortical_thickness,reconstruction_deviation_60,0.05616392590667805,0.2623334199487731,0.16311644827202199,high_test,mrisdp_61,L S_oc-temp_med_and_Lingual,Cortical thickness in mm for left hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus
cortical_thickness,reconstruction_deviation_61,0.007980994097776459,0.15527673633022754,0.07574097034039867,high_test,mrisdp_62,L S_orbital_lateral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI lateral orbital sulcus
cortical_thickness,reconstruction_deviation_62,0.0040438339249884245,0.15023923444976076,0.07199932088285228,exter_test,mrisdp_63,L S_orbital_med-olfact,Cortical thickness in mm for left hemisphere cortical Destrieux ROI medial orbital sulcus
cortical_thickness,reconstruction_deviation_63,0.012583986042540555,0.16433423660863433,0.08322714280411299,high_test,mrisdp_64,L S_orbital-H_Shaped,Cortical thickness in mm for left hemisphere cortical Destrieux ROI orbital sulci
cortical_thickness,reconstruction_deviation_64,0.05649702852100797,0.20058131990761166,0.11537181117483715,inter_test,mrisdp_65,L S_parieto_occipital,Cortical thickness in mm for left hemisphere cortical Destrieux ROI parieto-occipital sulcus
cortical_thickness,reconstruction_deviation_64,0.042726159100189315,0.21934741452912135,0.1230538624299343,high_test,mrisdp_65,L S_parieto_occipital,Cortical thickness in mm for left hemisphere cortical Destrieux ROI parieto-occipital sulcus
cortical_thickness,reconstruction_deviation_67,0.00018560451390177809,0.175990200081666,0.08642607372211293,high_test,mrisdp_68,L S_precentral-inf-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_68,0.01602099089365643,0.22920203735144312,0.13030325667541287,exter_test,mrisdp_69,L S_precentral-sup-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_68,0.04829429451724266,0.24392145216971678,0.1479367459816623,high_test,mrisdp_69,L S_precentral-sup-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_71,0.006565800742220953,0.1208574468637272,0.06636654296317443,inter_test,mrisdp_72,L S_temporal_inf,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior temporal sulcus
cortical_thickness,reconstruction_deviation_74,0.027751196172248804,0.15937644698255904,0.09498694242938725,exter_test,mrisdp_75,R G_and_S_frontomargin,Cortical thickness in mm for right hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_thickness,reconstruction_deviation_74,0.004862838264226586,0.19336278258287243,0.07459430565351349,high_test,mrisdp_75,R G_and_S_frontomargin,Cortical thickness in mm for right hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_thickness,reconstruction_deviation_75,0.029662886357148418,0.1322762307632419,0.08429299561414891,inter_test,mrisdp_76,R G_and_S_occipital_inf,Cortical thickness in mm for right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_thickness,reconstruction_deviation_75,0.003526485764133784,0.1688629867478377,0.08939388989940235,high_test,mrisdp_76,R G_and_S_occipital_inf,Cortical thickness in mm for right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_thickness,reconstruction_deviation_80,0.01040283994443587,0.17691001697792869,0.08962951072696404,exter_test,mrisdp_81,R G_and_S_cingul-Mid-Ant,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_80,0.007758268681094325,0.1734659786926018,0.08852778499573109,high_test,mrisdp_81,R G_and_S_cingul-Mid-Ant,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_82,0.032621389458386316,0.17224197441154335,0.09912656683881349,inter_test,mrisdp_83,R G_cingul-Post-dorsal,Cortical thickness in mm for right hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus
cortical_thickness,reconstruction_deviation_88,0.008486232579866608,0.1838683725637765,0.09226268393325202,inter_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_88,0.005772495755517827,0.16906930081802748,0.0901544065442198,exter_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_88,0.03300048257173614,0.21682319314005716,0.10987371468874123,high_test,mrisdp_89,R G_front_middle,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle frontal gyrus
cortical_thickness,reconstruction_deviation_90,0.04235495007238576,0.2171201603623,0.1279749062697205,high_test,mrisdp_91,R G_Ins_lg_and_S_cent_ins,Cortical thickness in mm for right hemisphere cortical Destrieux ROI long insular gyrus and central sulcus of the insula
cortical_thickness,reconstruction_deviation_91,0.06639913566908473,0.22284303133199568,0.13911091217780525,exter_test,mrisdp_92,R G_insular_short,Cortical thickness in mm for right hemisphere cortical Destrieux ROI short insular gyri
cortical_thickness,reconstruction_deviation_93,0.0008537807639481792,0.22008983258472847,0.1062945914844649,high_test,mrisdp_94,R G_occipital_sup,Cortical thickness in mm for right hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_thickness,reconstruction_deviation_94,0.019725266244790863,0.19456706281833616,0.11880425991665382,exter_test,mrisdp_95,R G_oc-temp_lat-fusifor,Cortical thickness in mm for right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_thickness,reconstruction_deviation_97,0.020527859237536656,0.17487266553480477,0.08967241858311467,exter_test,mrisdp_98,R G_orbital,Cortical thickness in mm for right hemisphere cortical Destrieux ROI orbital gyri
cortical_thickness,reconstruction_deviation_98,0.07524406993578084,0.22602917702958536,0.153235086677308,high_test,mrisdp_99,R G_pariet_inf-Angular,Cortical thickness in mm for right hemisphere cortical Destrieux ROI angular gyrus
cortical_thickness,reconstruction_deviation_99,0.03568369968598344,0.16502737912957724,0.10079511068434849,inter_test,mrisdp_100,R G_pariet_inf-Supramar,Cortical thickness in mm for right hemisphere cortical Destrieux ROI supramarginal gyrus
cortical_thickness,reconstruction_deviation_100,0.011020219169624942,0.18172557493440344,0.08997536656891494,exter_test,mrisdp_101,R G_parietal_sup,Cortical thickness in mm for right hemisphere cortical Destrieux ROI superior parietal lobule
cortical_thickness,reconstruction_deviation_103,0.10158975150486187,0.24574780058651027,0.18459861089674331,exter_test,mrisdp_104,R G_precuneus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI precuneus
cortical_thickness,reconstruction_deviation_103,0.0017446824306767141,0.1641115111919522,0.08212932922528676,high_test,mrisdp_104,R G_precuneus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI precuneus
cortical_thickness,reconstruction_deviation_104,0.00147925155061895,0.1382970440920769,0.07029818597046687,inter_test,mrisdp_105,R G_rectus,Cortical thickness in mm for right hemisphere cortical Destrieux ROI gyrus rectus
cortical_thickness,reconstruction_deviation_105,0.03344593340510041,0.16381454396970935,0.09799992575819444,high_test,mrisdp_106,R G_subcallosal,Cortical thickness in mm for right hemisphere cortical Destrieux ROI subcallosal gyrus
