Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_volume,reconstruction_deviation_3,0.04933433680222147,0.19938753795448058,0.13125253678665041,inter_test,mrisdp_457,L G_and_S_subcentral,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_volume,reconstruction_deviation_5,0.008352203125580014,0.1709417573035376,0.0873040573146739,high_test,mrisdp_459,L G_and_S_cingul-Ant,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_volume,reconstruction_deviation_10,0.02225652106806606,0.19252971137521221,0.12040487729587901,exter_test,mrisdp_464,L G_cuneus,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI cuneus
cortical_volume,reconstruction_deviation_12,0.02772931437692565,0.16188425702513085,0.08898310998923493,high_test,mrisdp_466,L G_front_inf-Orbital,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus
cortical_volume,reconstruction_deviation_19,0.01627176705680845,0.1749928632600628,0.09915153245270286,inter_test,mrisdp_473,L G_occipital_sup,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_volume,reconstruction_deviation_19,0.011990051598054864,0.26366977244886597,0.15399316975388844,high_test,mrisdp_473,L G_occipital_sup,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_volume,reconstruction_deviation_20,0.027689458249729897,0.18154036116684674,0.1033668776045686,exter_test,mrisdp_474,L G_oc-temp_lat-fusifor,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_volume,reconstruction_deviation_24,0.01834790958399294,0.16710352165676173,0.08787506812342667,inter_test,mrisdp_478,L G_pariet_inf-Angular,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI angular gyrus
cortical_volume,reconstruction_deviation_27,0.011652349933822958,0.19367814600472322,0.07891459268678794,inter_test,mrisdp_481,L G_postcentral,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI postcentral gyrus
cortical_volume,reconstruction_deviation_31,0.06189226732520451,0.227288161753357,0.13679790091063435,exter_test,mrisdp_485,L G_subcallosal,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI subcallosal gyrus
cortical_volume,reconstruction_deviation_34,0.03838268497132328,0.18148080865751434,0.10926878260192564,inter_test,mrisdp_488,L G_temp_sup-Plan_polar,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_volume,reconstruction_deviation_42,0.026207748109276122,0.16999536965581108,0.09774860317950301,exter_test,mrisdp_496,L Pole_temporal,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI temporal pole
cortical_volume,reconstruction_deviation_50,0.011884550084889643,0.1718475073313783,0.09661849050779442,exter_test,mrisdp_504,L S_collat_transv_post,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI posterior transverse collateral sulcus
cortical_volume,reconstruction_deviation_57,0.010279364099398055,0.19870350362710296,0.11969464423522148,exter_test,mrisdp_511,L S_oc_sup_and_transversal,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI superior occipital sulcus and transverse occipital sulcus
cortical_volume,reconstruction_deviation_60,0.012482806944696754,0.17987179819894636,0.08335852386266317,inter_test,mrisdp_514,L S_oc-temp_med_and_Lingual,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus
cortical_volume,reconstruction_deviation_60,0.024108658743633278,0.1889489118691156,0.10901762617687914,exter_test,mrisdp_514,L S_oc-temp_med_and_Lingual,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus
cortical_volume,reconstruction_deviation_63,0.020943087742973557,0.21957802403134974,0.13820143772870006,inter_test,mrisdp_517,L S_orbital-H_Shaped,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI orbital sulci
cortical_volume,reconstruction_deviation_63,0.07485723105417502,0.25389720635900603,0.17511893810773269,exter_test,mrisdp_517,L S_orbital-H_Shaped,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI orbital sulci
cortical_volume,reconstruction_deviation_63,0.018152121459593898,0.24117450536397045,0.1354896618285757,high_test,mrisdp_517,L S_orbital-H_Shaped,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI orbital sulci
