Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_surface_area,reconstruction_deviation_1,0.015415497043925542,0.09934605673781109,0.05254940643279439,high_test,mrisdp_304,L G_and_S_occipital_inf,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_surface_area,reconstruction_deviation_3,0.035248116842044735,0.10687667803417329,0.07076591340348456,inter_test,mrisdp_306,L G_and_S_subcentral,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_surface_area,reconstruction_deviation_3,0.040820487085796726,0.1332507409788762,0.09262712688381139,high_test,mrisdp_306,L G_and_S_subcentral,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_surface_area,reconstruction_deviation_10,0.023727006131698213,0.13177662427274295,0.07243928677842772,high_test,mrisdp_313,L G_cuneus,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI cuneus
cortical_surface_area,reconstruction_deviation_17,0.013495043855575165,0.08174431514089958,0.04705130416705369,inter_test,mrisdp_320,L G_insular_short,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI short insular gyri
cortical_surface_area,reconstruction_deviation_17,0.06757413709285368,0.15689933664748223,0.11177907067919143,high_test,mrisdp_320,L G_insular_short,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI short insular gyri
cortical_surface_area,reconstruction_deviation_19,0.006664889362836577,0.08353850737842458,0.04271921213166685,high_test,mrisdp_322,L G_occipital_sup,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_surface_area,reconstruction_deviation_20,0.026288227901131125,0.1067501047339757,0.06391631755341433,exter_test,mrisdp_323,L G_oc-temp_lat-fusifor,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_surface_area,reconstruction_deviation_24,0.04310363892906587,0.10838939681444425,0.07577701109769422,inter_test,mrisdp_327,L G_pariet_inf-Angular,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI angular gyrus
cortical_surface_area,reconstruction_deviation_24,0.023695641946461336,0.11051170668213967,0.07027518936126838,high_test,mrisdp_327,L G_pariet_inf-Angular,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI angular gyrus
cortical_surface_area,reconstruction_deviation_27,0.003246753246753247,0.11505027230833682,0.06299960724759111,exter_test,mrisdp_330,L G_postcentral,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI postcentral gyrus
cortical_surface_area,reconstruction_deviation_31,0.019899771322921228,0.10437317268436813,0.0783037645466488,inter_test,mrisdp_334,L G_subcallosal,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI subcallosal gyrus
cortical_surface_area,reconstruction_deviation_34,0.05490461467691069,0.11199869074631882,0.08765813440196742,inter_test,mrisdp_337,L G_temp_sup-Plan_polar,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_surface_area,reconstruction_deviation_34,0.09745496439044826,0.16574151654796815,0.1346168831168831,exter_test,mrisdp_337,L G_temp_sup-Plan_polar,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_surface_area,reconstruction_deviation_36,0.08078891380599161,0.1691900762109491,0.1358494358266654,inter_test,mrisdp_339,L G_temporal_inf,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior temporal gyrus
cortical_surface_area,reconstruction_deviation_42,0.021967951403435274,0.12125576036866359,0.07256493506493507,exter_test,mrisdp_345,L Pole_temporal,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI temporal pole
cortical_surface_area,reconstruction_deviation_44,0.015034301561815793,0.10064887673995833,0.06165414471676331,inter_test,mrisdp_347,L S_central,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI central sulcus
cortical_surface_area,reconstruction_deviation_46,0.00612606874466457,0.07842694939469133,0.04524978879438082,inter_test,mrisdp_349,L S_circular_insula_ant,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI anterior segment of the circular sulcus of the insula
cortical_surface_area,reconstruction_deviation_51,0.016889613750058808,0.13952357802625182,0.06808280144902536,high_test,mrisdp_354,L S_front_inf,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior frontal sulcus
cortical_surface_area,reconstruction_deviation_54,0.04838709677419355,0.14382593213238373,0.09155058651026393,exter_test,mrisdp_357,L S_interm_prim-Jensen,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI sulcus intermedius primus
cortical_surface_area,reconstruction_deviation_54,0.05863534430034344,0.1378299120234604,0.09491586557310208,high_test,mrisdp_357,L S_interm_prim-Jensen,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI sulcus intermedius primus
cortical_surface_area,reconstruction_deviation_56,0.013273886139161282,0.07602075344010828,0.04449053666131465,inter_test,mrisdp_359,L S_oc_middle_and_Lunatus,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_surface_area,reconstruction_deviation_56,0.0387253875157101,0.1315196899874319,0.08368333682446585,exter_test,mrisdp_359,L S_oc_middle_and_Lunatus,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_surface_area,reconstruction_deviation_56,0.009017203255602428,0.11342857590916931,0.061882227484435524,high_test,mrisdp_359,L S_oc_middle_and_Lunatus,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
