Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_thickness,reconstruction_deviation_2,0.06271268838113758,0.19820596860445058,0.129394106669594,high_test,mrisdp_3,L G_and_S_paracentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI paracentral lobule and sulcus
cortical_thickness,reconstruction_deviation_3,0.04377880184331797,0.14201927105152912,0.09716066191872645,exter_test,mrisdp_4,L G_and_S_subcentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_thickness,reconstruction_deviation_4,0.046341387897365124,0.1318321147543159,0.0923468106845716,inter_test,mrisdp_5,L G_and_S_transv_frontopol,Cortical thickness in mm for left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_4,0.06951871657754011,0.1841861778035661,0.1311525710790848,high_test,mrisdp_5,L G_and_S_transv_frontopol,Cortical thickness in mm for left hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_5,0.002068496020108923,0.08378718056137412,0.038886154168412235,exter_test,mrisdp_6,L G_and_S_cingul-Ant,Cortical thickness in mm for left hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_7,0.005984527806159685,0.10829208741922214,0.05834523604163073,inter_test,mrisdp_8,L G_and_S_cingul-Mid-Post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_7,0.001152073732718894,0.12246020108923335,0.06152895894428153,exter_test,mrisdp_8,L G_and_S_cingul-Mid-Post,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle-posterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_15,0.011752321050233763,0.13329175568264753,0.07666311045058673,inter_test,mrisdp_16,L G_front_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior frontal gyrus
cortical_thickness,reconstruction_deviation_15,0.07111829002462089,0.18986309533144102,0.12486163689682751,high_test,mrisdp_16,L G_front_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior frontal gyrus
cortical_thickness,reconstruction_deviation_18,0.010770380789356122,0.10417855389392391,0.05906058394483442,inter_test,mrisdp_19,L G_occipital_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital gyrus
cortical_thickness,reconstruction_deviation_18,0.04176141264290307,0.19685730863926482,0.11232173381215989,high_test,mrisdp_19,L G_occipital_middle,Cortical thickness in mm for left hemisphere cortical Destrieux ROI middle occipital gyrus
cortical_thickness,reconstruction_deviation_19,0.03313626170276162,0.159784841689275,0.09666667712139508,high_test,mrisdp_20,L G_occipital_sup,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_thickness,reconstruction_deviation_24,0.003685291765333166,0.12293192403594336,0.06223952828265404,high_test,mrisdp_25,L G_pariet_inf-Angular,Cortical thickness in mm for left hemisphere cortical Destrieux ROI angular gyrus
cortical_thickness,reconstruction_deviation_27,0.010168831800710359,0.1378299120234604,0.07278165983289324,inter_test,mrisdp_28,L G_postcentral,Cortical thickness in mm for left hemisphere cortical Destrieux ROI postcentral gyrus
cortical_thickness,reconstruction_deviation_34,0.03166536183613983,0.11753647996532247,0.07734453276009254,inter_test,mrisdp_35,L G_temp_sup-Plan_polar,Cortical thickness in mm for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
