Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_volume,reconstruction_deviation_0,0.0007684225383035112,0.13861401665438236,0.06668458607116533,high_test,mrisdp_454,L G_and_S_frontomargin,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_volume,reconstruction_deviation_3,0.044501355696801616,0.1573006373765387,0.10920146141019006,inter_test,mrisdp_457,L G_and_S_subcentral,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_volume,reconstruction_deviation_3,0.006915802844731601,0.14774099455831385,0.07461975630028071,high_test,mrisdp_457,L G_and_S_subcentral,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI subcentral gyrus and sulci
cortical_volume,reconstruction_deviation_10,0.04281001256807709,0.17927838290741516,0.11220137725178049,exter_test,mrisdp_464,L G_cuneus,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI cuneus
cortical_volume,reconstruction_deviation_19,0.013188639892107203,0.1815202220584315,0.08805030815311995,high_test,mrisdp_473,L G_occipital_sup,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI superior occipital gyrus
cortical_volume,reconstruction_deviation_20,0.0034562211981566822,0.1079021784666946,0.05333095936321743,exter_test,mrisdp_474,L G_oc-temp_lat-fusifor,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus
cortical_volume,reconstruction_deviation_27,0.00216292246652778,0.10293122437334962,0.05212046018497632,inter_test,mrisdp_481,L G_postcentral,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI postcentral gyrus
cortical_volume,reconstruction_deviation_31,0.006467322999581064,0.12156996229576875,0.06718166108085463,exter_test,mrisdp_485,L G_subcallosal,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI subcallosal gyrus
cortical_volume,reconstruction_deviation_34,0.025853337048782968,0.12324234904880066,0.07277514010341335,inter_test,mrisdp_488,L G_temp_sup-Plan_polar,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_volume,reconstruction_deviation_36,0.015715467328370553,0.12956745973823772,0.07597113449485365,inter_test,mrisdp_490,L G_temporal_inf,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI inferior temporal gyrus
cortical_volume,reconstruction_deviation_42,0.010525764558022623,0.130001047339757,0.06834397255969836,exter_test,mrisdp_496,L Pole_temporal,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI temporal pole
cortical_volume,reconstruction_deviation_49,0.008682651946409062,0.11546644373968852,0.06478820610129908,inter_test,mrisdp_503,L S_collat_transv_ant,Cortical volume in mm^3 for left hemisphere cortical Destrieux ROI anterior transverse collateral sulcus
